Sample,type,sample
E0T00S1,Chlamydomonas reinhardtii,1
E0T00S2,Chlamydomonas reinhardtii,2
E0T00S3,Chlamydomonas reinhardtii,3
E0T00S4,Chlamydomonas reinhardtii,4
E0T01S1,Culture media,1
E0T01S2,Culture media,2
E0T01S3,Culture media,3
E0T01S4,Culture media,4
E0T17S2,Kit (negative control),1
E0T17S3,Kit (negative control),2
E1T02S1,Adult Daphnia magna,1
E1T02S3,Adult Daphnia magna,2
E1T02S4,Adult Daphnia magna,3
E1T02S5,Adult Daphnia magna,4
